Title,Location,Company,Salary,Advert Date
Process and Readiness Analyst - IFRS17,Edinburgh,Core-Asset Consulting,,May 2021
Data Engineer - Edinburgh,Edinburgh,Datatech Analytics,,17/5/2021
Business Analyst - Finance Transformation,Edinburgh,Sanderson Recruitment Plc,£425 - £450 a week,
2 x IT Business Analysts,Edinburgh,Head Resourcing Limited,£400 - £425 a day,8/5/2021
"Lead Analyst, Shareholder Services (Client Documentation)",Edinburgh,BNY Mellon,,10/5/2021
Head of Data Management / Data Management Director,Edinburgh,People's Energy,,May 2021
Cyber Defence Analyst,Edinburgh,PwC,,14/5/2021
Data Governance Consultant,Edinburgh,Search Consultancy,,19/5/2021
Business Finance Analyst,Edinburgh,Phoenix Group Holdings,,April 2021
Client Communications Analyst,Edinburgh,Core-Asset Consulting,,2/5/2021
Technical Business Analyst,Edinburgh,INOV8 Consulting Ltd,"£25,000 - £40,000 a year",March 2021
Risk Committee Engagement & Reporting Analyst/Consultant,Edinburgh,Standard Life Aberdeen,,
Electrical and Electronics Engineering Intern,Edinburgh,GE Digital,,28/3/2021
Business Application Support,Edinburgh,JP Morgan Chase,,15/5/2021
Pensions Analyst Edinburgh,Edinburgh,Profile Search and Selection Ltd,"£25,000 - £33,000 a year",March 2021
UX Consultant,Edinburgh,Craneware,,27/3/2021
Finance Reporting Analyst - Team Leader,Edinburgh,Trainline,,April 2021
Application Support Analyst,Edinburgh,Head Resourcing Limited,"£25,000 - £30,000 a year",31/3/2021
Market Analyst,Edinburgh,Scientific People,,March 2021
Data Scientist,Edinburgh,Quintex Consulting,,24/3/2021
Graduate IT Business System Functional Analyst,Edinburgh,Leonardo,,12/4/2021
Consultant - D&A Remediation team,Edinburgh,Sopra Steria,"£35,000 a year",31/5/2021
Invoicing Specialist,Edinburgh,Cloudreach,,30/4/2021
PPC Marketing Junior Associate (Edinburgh - April/Summer Sta...,Edinburgh,Merkle Periscopix,,13/3/2021
Analytical Senior Scientist,Edinburgh,Johnson Matthey,,7/5/2021
Web Analyst,Edinburgh,Head Resourcing Limited,,15/5/2021
KYC Analyst,Edinburgh,Blue Arrow,£17 an hour,25/5/2021
Senior Deal Desk Analyst,Edinburgh,UserTesting,,
Systems Analyst,Edinburgh,Core-Asset Consulting,,April 2021
Senior Business Analyst,Edinburgh,Amazon UK Services Ltd.,,May 2021
Credit Risk Systems & Infrastructure Senior Analyst,Edinburgh,Sainsburys,,10/4/2021
Migrations Test Lead,Edinburgh,FNZ,,30/4/2021
Technical Business Analyst - Identity & Access Management –...,Edinburgh,BlackRock,,8/3/2021
Business Analyst – Financial Services –Edinburgh,Edinburgh,Hydrogen Group,£395 - £425 a day,3/3/2021
Regulatory Costs Calculations and Project Management Analyst,Edinburgh,BlackRock,,2/5/2021
Strategic Product Manager,Edinburgh,Zonal Retail Data Systems Limited,,12/4/2021
Business Analyst,Edinburgh,HSBC,,17/3/2021
"Business Analyst, Capital Markets (Edinburgh)",Edinburgh,GreySpark Partners,,March 2021
Senior Credit Risk Analyst,Edinburgh,Sainsburys,,March 2021
BI Developer,Edinburgh,Wood Mackenzie,,
Business Systems - Senior IT Support Consultant - Edinburgh...,Edinburgh,Insights,,28/4/2021
Senior IT Business Analyst,Edinburgh,Computershare,,March 2021
Systems Analyst (Investments),Edinburgh,Core-Asset Consulting,,April 2021
Business Analyst/EUC Developer,Edinburgh,GCS Recruitment Specialists Ltd,"£80,000 - £90,000 a year",11/4/2021
Markit EDM Business Analyst,Edinburgh,Red10,,2/4/2021
Business Analyst,Edinburgh,Hydrogen Group,£400 - £425 a week,
Senior Business Analyst – Financial Services,Edinburgh,Hydrogen Group,£450 - £500 a day,May 2021
ESG Business Manager - Edinburgh or London,Edinburgh,Core-Asset Consulting,,May 2021
Business Analyst – Contract – Scotland,Edinburgh,Hydrogen Group,£365 - £400 a day,27/3/2021
Business Analyst – Financial Services – Risk Transformation...,Edinburgh,Hydrogen Group,£400 - £480 a week,
PeopleSoft Developer,Edinburgh,Computershare,,2/4/2021
Instructor,Edinburgh,CodeClan,,March 2021
"Business Analyst (Prince2, IT, Projects, HR)",Edinburgh,Ampersand Consulting,,12/3/2021
"Technical Support Analyst, Aladdin Product Group",Edinburgh,BlackRock,,22/3/2021
Database Analyst & Developer,Edinburgh,Head Resourcing Limited,,22/5/2021
Senior Design Engineer,Edinburgh,Tesco Bank,,
Finance Business Analyst– Financial Services,Edinburgh,Hydrogen Group,£400 - £500 a week,March 2021
MI Team Lead,Edinburgh,Michael Page UK,,March 2021
SAS Developer / Consultant,Edinburgh,INOV8 Consulting Ltd,"£25,000 - £42,000 a year",5/5/2021
Finance Analyst,Edinburgh,Michael Page UK,"£30,000 - £32,500 a year",May 2021
Bulk Analyst/Administrator Part,Midlothian,Higgins Recruitment Limited,,8/5/2021
C# Developer,Edinburgh,Zonal Retail Data Systems Limited,,30/4/2021
Finance Analyst,Edinburgh,Search Consultancy,,15/3/2021
Senior Test Analyst,Edinburgh,FPSG,,31/3/2021
Assistant Manager - Model Governance,Edinburgh,Sanderson Recruitment Plc,,April 2021
Business Analyst,Edinburgh,Covetrus,,13/5/2021
